mouse_strain,C57BL
analysis_id,1603hrxt1j8zfox
parameter_id,UCDLA_EYE_083_001
parameter_name,Vitreous
gene_accession_id,MGI:1927753
gene_symbol,Inpp5e
pvalue,0.7017097
mouse_life_stage,E12.5
