mouse_life_stage,Early adult
gene_accession_id,MGI:1922387
parameter_id,IMPC_GEM_007_001
analysis_id,02698mow04s66px
parameter_name,Pericardium Morphology
pvalue,0.2628013
mouse_strain,C57BL
gene_symbol,Rprd2
