mouse_life_stage,Early adult
parameter_id,IMPC_ECG_003_001
mouse_strain,C57BL
gene_symbol,Chtop
analysis_id,09n00195640a7kx
gene_accession_id,MGI:1913761
parameter_name,CV
pvalue,0.5038811
