mouse_strain,C57BL
gene_symbol,Ifi204
mouse_life_stage,Early adult
parameter_id,JAX_LDT_004_001
pvalue,0.3431865
analysis_id,0ffv4e138zd5ypa
parameter_name,Dark side time spent
gene_accession_id,MGI:96429
