parameter_id,IMPC_CBC_013_001
mouse_strain,C57BL
gene_accession_id,MGI:98386
gene_symbol,Sptan1
mouse_life_stage,E9.5
parameter_name,Alanine aminotransferase
analysis_id,0xgzk172wgq474m
pvalue,0.1284962
