gene_accession_id,MGI:97565
gene_symbol,Pgm1
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,IMPC_OFD_021_001
pvalue,0.7926665
parameter_name,Number of rears - total
analysis_id,159sz6wbw418eux
