mouse_strain,C57BL
parameter_name,Head size
parameter_id,IMPC_CSD_025_001
analysis_id,08u90dex56p4w9a
gene_accession_id,MGI:1918142
mouse_life_stage,Early adult
pvalue,0.5246922
gene_symbol,Ttll7
