mouse_strain,C57BL
pvalue,0.9394754
parameter_name,Mean corpuscular hemoglobin
mouse_life_stage,Early adult
gene_accession_id,MGI:1915282
gene_symbol,Emc4
analysis_id,00w34i52gq6t9sa
parameter_id,IMPC_HEM_006_001
