mouse_strain,C57BL
pvalue,0.6052987
gene_symbol,Bend7
parameter_id,IMPC_CBC_013_001
gene_accession_id,MGI:2443100
analysis_id,0b1762s9nwcsjhx
mouse_life_stage,Early adult
parameter_name,Alanine aminotransferase
