parameter_name,PP3 startle magnitude
analysis_id,2go87y75k0qp1na
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_004
pvalue,0.0730294
mouse_strain,C57BL
gene_accession_id,MGI:2684896
gene_symbol,Maneal
