mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,12s6optx07k7fnx
parameter_id,MGP_IMM_019_001
pvalue,0.8822697
parameter_name,CD5+ gd T cells - % of gd T cells
gene_symbol,Pgm1
gene_accession_id,MGI:97565
