gene_accession_id,MGI:1309469
gene_symbol,Casq2
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,IMPC_OFD_007_001
pvalue,0.5381204
parameter_name,Whole arena resting time
analysis_id,1m9zr36b5e13u1a
