gene_accession_id,MGI:107674
gene_symbol,Cd1d1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_050_001
pvalue,0.7779199
parameter_name,Percentage center movement time
analysis_id,06z86l911i53ria
