mouse_life_stage,Middle aged adult
parameter_id,IMPC_GEM_075_001
gene_symbol,Eppin
analysis_id,0fq82960mwf924a
parameter_name,Delayed embryonic development
pvalue,0.9593613
gene_accession_id,MGI:1922776
mouse_strain,C57BL
