mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:105383
pvalue,0.34376
analysis_id,2e39c2l6r9wgc0a
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_symbol,Il18r1
parameter_id,MGP_IMM_007_001
