parameter_name,BMC/Body weight
analysis_id,1478a8l7a04v92a
mouse_life_stage,Early adult
pvalue,0.2580332
gene_accession_id,MGI:1917120
parameter_id,ESLIM_005_001_701
gene_symbol,Polr3gl
mouse_strain,C57BL
