parameter_id,CCP_LDT_007_001
analysis_id,0497l9za892c28m
gene_accession_id,MGI:1921520
pvalue,0.8367766
mouse_life_stage,Early adult
parameter_name,Percent time in dark
gene_symbol,Usp20
mouse_strain,C57BL
