pvalue,0.8071819
mouse_life_stage,Early adult
parameter_name,Midbrain morphology
parameter_id,IMPC_GEM_070_001
gene_accession_id,MGI:108429
gene_symbol,Lpar1
analysis_id,0kv59x0e9rkzr0x
mouse_strain,C57BL
