analysis_id,0232g8k88d03a3a
parameter_name,Response amplitude - S
mouse_strain,C57BL
parameter_id,IMPC_ACS_006_001
mouse_life_stage,Early adult
pvalue,0.5399675
gene_symbol,Emc4
gene_accession_id,MGI:1915282
