analysis_id,1cbh67h79y3lb3a
parameter_id,IMPC_ECG_010_001
pvalue,0.893679
parameter_name,HRV
gene_symbol,Pdik1l
gene_accession_id,MGI:2385213
mouse_strain,C57BL
mouse_life_stage,Early adult
