gene_symbol,Eloa
parameter_id,MGP_IMM_010_001
parameter_name,Effector Treg cells - % of Treg
analysis_id,0rp8eli63tov06a
mouse_strain,C57BL
pvalue,0.8057939
gene_accession_id,MGI:1351315
mouse_life_stage,E9.5
