parameter_name,Fusion of vertebrae
gene_accession_id,MGI:1201673
gene_symbol,Shox2
pvalue,0.6689866
mouse_life_stage,E9.5
analysis_id,191168ed9691ysa
parameter_id,IMPC_XRY_019_001
mouse_strain,C57BL
