parameter_id,IMPC_HEM_029_001
analysis_id,0o05gr8m0z867ma
parameter_name,Neutrophil differential count
mouse_strain,C57BL
gene_accession_id,MGI:2684789
mouse_life_stage,Early adult
pvalue,0.8691781
gene_symbol,Lrsam1
