analysis_id,224g23rq960r90a
gene_accession_id,MGI:99218
parameter_id,MGP_MLN_066_001
mouse_strain,C57BL
pvalue,0.2215215
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_symbol,Cdh4
mouse_life_stage,Early adult
