parameter_name,Cervical processes
pvalue,0.157809
parameter_id,IMPC_XRY_063_001
gene_accession_id,MGI:98386
gene_symbol,Sptan1
mouse_strain,C57BL
analysis_id,13wk27e16159uha
mouse_life_stage,E9.5
