pvalue,0.4782589
mouse_strain,C57BL
parameter_name,Potassium
parameter_id,M-G-P_025_001_005
analysis_id,1442yhr3hb883ox
mouse_life_stage,Early adult
gene_accession_id,MGI:2443100
gene_symbol,Bend7
