gene_symbol,Fam83d
pvalue,0.4303062
gene_accession_id,MGI:1919128
mouse_life_stage,Early adult
analysis_id,22q1s024p04o31a
mouse_strain,C50BL
parameter_name,KLRG1+ Treg cells - % of CD45+
parameter_id,MGP_MLN_072_001
