mouse_life_stage,E9.5
analysis_id,1ci7w1t20jvcjoa
gene_symbol,Sptan1
parameter_name,Forelimb grip strength measurement mean
gene_accession_id,MGI:98386
mouse_strain,C57BL
parameter_id,IMPC_GRS_008_001
pvalue,0.9120494
