mouse_strain,C57BL
gene_symbol,Wnt6
pvalue,0.9228384
gene_accession_id,MGI:98960
mouse_life_stage,E12.5
parameter_name,Scapulae
parameter_id,IMPC_XRY_006_001
analysis_id,1k01jzlxy09ujtm
