parameter_id,CCP_XRY_062_001
mouse_life_stage,Early adult
gene_symbol,Plekhf2
gene_accession_id,MGI:1919051
parameter_name,Polysyndactylism
pvalue,0.6351669
analysis_id,15gy491fgl0u1gm
mouse_strain,C57BL
