parameter_name,Haematocrit
analysis_id,068wc9t3eas7hra
parameter_id,ESLIM_016_001_004
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_symbol,Rprd2
pvalue,0.6936145
gene_accession_id,MGI:1922387
