parameter_id,CCP_XRY_019_001
mouse_strain,C57BL
gene_accession_id,MGI:97324
pvalue,0.07016369
gene_symbol,Nhlh2
analysis_id,20803x096gve2ba
mouse_life_stage,Early adult
parameter_name,Fusion of vertebrae
