parameter_id,UCDLA_CSD_011_001
pvalue,0.2075904
gene_accession_id,MGI:1919051
analysis_id,072d0j9wgn14y6m
mouse_strain,C57BL
parameter_name,Coat - hair distribution - back
gene_symbol,Plekhf2
mouse_life_stage,Early adult
