gene_symbol,Casq2
pvalue,0.208461
mouse_strain,C57BL
gene_accession_id,MGI:1309469
analysis_id,15xm1528khnbofx
parameter_name,Potassium
mouse_life_stage,Early adult
parameter_id,M-G-P_025_001_005
