pvalue,0.5985954
analysis_id,114100fj4zk68oa
parameter_name,Body length
parameter_id,IMPC_DXA_006_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Atp6v0b
gene_accession_id,MGI:1890510
