gene_accession_id,MGI:2441837
gene_symbol,Adgrb3
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_013_001_004
pvalue,0.5830536
parameter_name,Left retina pigmentation
analysis_id,0p49uuj4og84zfx
