parameter_name,Hematocrit
pvalue,0.2051965
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_HEM_004_001
gene_accession_id,MGI:1927753
analysis_id,0zp620zy284l4wm
gene_symbol,Inpp5e
