pvalue,0.1453793
mouse_life_stage,E12.5
parameter_id,IMPC_HEM_019_001
analysis_id,09e1be2j2o03elx
gene_accession_id,MGI:2444508
mouse_strain,C57BL
parameter_name,Mean platelet volume
gene_symbol,Fitm2
