gene_symbol,Trim59
mouse_strain,C57BL
parameter_id,IMPC_CSD_041_002
analysis_id,00swp4930bq3hta
mouse_life_stage,Early adult
pvalue,0.3212645
parameter_name,Hindpaw - size
gene_accession_id,MGI:1914199
