parameter_id,IMPC_EYE_065_001
parameter_name,Right posterior chamber depth
gene_symbol,Tmem9
pvalue,0.4643552
mouse_life_stage,Early adult
analysis_id,037i9828h0of3na
gene_accession_id,MGI:1913491
mouse_strain,C57BL
