pvalue,0.2271379
mouse_life_stage,Early adult
analysis_id,292s46k1v107pua
gene_accession_id,MGI:104899
gene_symbol,Mob4
mouse_strain,C57BL
parameter_name,BN startle magnitude
parameter_id,ESLIM_011_001_001
