parameter_id,JAX_LDT_009_001
gene_accession_id,MGI:87867
mouse_life_stage,Early adult
pvalue,0.2423103
mouse_strain,C57BL
parameter_name,Percent time in light
analysis_id,04z764c2x99g13x
gene_symbol,Acadm
