mouse_life_stage,Early adult
analysis_id,1z3ut62293cl7oa
parameter_id,IMPC_EYE_016_001
gene_symbol,Mybpc3
gene_accession_id,MGI:102844
parameter_name,Lens
mouse_strain,C57BL
pvalue,0.4962399
