parameter_name,Total holepokes
analysis_id,185z089jb38wnkm
parameter_id,JAX_HBD_001_001
mouse_strain,C57BL
gene_accession_id,MGI:98960
pvalue,0.857259
mouse_life_stage,Early adult
gene_symbol,Wnt6
