mouse_strain,C57BL
gene_accession_id,MGI:2443925
parameter_id,IMPC_CSD_032_001
mouse_life_stage,Early adult
pvalue,0.1205072
parameter_name,Locomotor activity
analysis_id,2a1n619r133qbta
gene_symbol,Thsd7b
