mouse_strain,C57BL
gene_symbol,Ctss
parameter_id,CCP_XRY_020_001
mouse_life_stage,Early adult
parameter_name,Processes on vertebrae
gene_accession_id,MGI:107341
analysis_id,1cn596e09459t0a
pvalue,0.7730073
