gene_symbol,Sec61a2
gene_accession_id,MGI:1931071
mouse_life_stage,Early adult
pvalue,0.3718842
analysis_id,0345wef0b6h4s8x
parameter_id,MGP_PBI_015_001
parameter_name,IgD+ mature B cell percentage
mouse_strain,C57BL
