gene_symbol,Ppp3r2
gene_accession_id,MGI:107171
parameter_id,MGP_IMM_116_001
mouse_life_stage,Early adult
parameter_name,Plasma cells - % of CD45+
analysis_id,191o302051juzhx
mouse_strain,C57BL
pvalue,0.6657961
