mouse_strain,C57BL
pvalue,0.08269183
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Srp9
parameter_id,MGP_IMM_073_001
analysis_id,028rxl30b42a0yx
gene_accession_id,MGI:1350930
