pvalue,0.8919275
gene_accession_id,MGI:107674
analysis_id,12nynhlw1cx0gua
parameter_name,Urea (Blood Urea Nitrogen - BUN)
parameter_id,IMPC_CBC_004_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Cd1d1
