parameter_id,IMPC_CBC_016_001
gene_symbol,Cdh4
analysis_id,27a272r6wuva9na
parameter_name,HDL-cholesterol
gene_accession_id,MGI:99218
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9703771
