analysis_id,13w4y4r6043jnvm
gene_accession_id,MGI:1920199
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_036_001
gene_symbol,Ccnt2
parameter_name,Startle response
mouse_strain,C57BL
pvalue,0.3107446
