pvalue,0.6974508
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_021_001
gene_accession_id,MGI:104516
analysis_id,2b1w5w8l8s0q1ma
parameter_name,Number of rears - total
gene_symbol,Slc23a3
