gene_accession_id,MGI:1921263
gene_symbol,Rftn2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_013_001_004
pvalue,0.216896
parameter_name,Left retina pigmentation
analysis_id,061919618r0032m
