mouse_strain,C57BL
gene_accession_id,MGI:2140259
parameter_name,Transfer arousal
gene_symbol,Zmynd12
mouse_life_stage,Early adult
analysis_id,18o7xnrqcgfi83a
parameter_id,ESLIM_008_001_007
pvalue,0.7136538
