parameter_name,Skin color - tail
analysis_id,16v1l949el8i87a
mouse_life_stage,E18.5
mouse_strain,C57BL
pvalue,0.7169257
parameter_id,IMPC_CSD_061_001
gene_symbol,Ube2c
gene_accession_id,MGI:1915862
