mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_CSD_025_001
parameter_name,Head size
gene_symbol,Crb2
gene_accession_id,MGI:2679260
pvalue,0.4197592
analysis_id,0l5g5d372sj6yia
