mouse_life_stage,Early adult
analysis_id,0ya332r6mf8covx
gene_accession_id,MGI:2685195
parameter_id,IMPC_CBC_025_001
pvalue,0.6909561
mouse_strain,C57BL
parameter_name,LDL-cholesterol
gene_symbol,Zbtb34
