parameter_name,Shape of vertebrae
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,CCP_XRY_018_001
pvalue,0.7850896
gene_symbol,CCDC107
gene_accession_id,MGI:1913423
analysis_id,051r454w4671eoa
