mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1925835
gene_symbol,Jade1
pvalue,0.9749023
parameter_id,IMPC_EYE_062_001
parameter_name,Right total retinal thickness
analysis_id,089834g693n7snm
