gene_accession_id,MGI:87879
gene_symbol,Aco1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_076_001
pvalue,0.4129635
parameter_name,Total Treg cells - % of CD45+
analysis_id,14xt23g1397j48a
