gene_accession_id,MGI:97898
gene_symbol,Ren1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,UCD_OWT_003_001
pvalue,0.9242312
parameter_name,Spleen weight
analysis_id,0qsbbp11kv2760a
