parameter_name,Facial Cleft
analysis_id,0y053g875uorelm
mouse_strain,C57BL
gene_symbol,Ugt1a2
pvalue,0.1788115
mouse_life_stage,Early adult
gene_accession_id,MGI:3576049
parameter_id,IMPC_GEO_017_002
