analysis_id,2476tuh01256aja
gene_symbol,Fam107b
mouse_strain,129SV
pvalue,0.4279199
parameter_name,Delayed embryonic development
mouse_life_stage,Early adult
parameter_id,IMPC_GEM_075_001
gene_accession_id,MGI:1913790
